real_salary,predicted_salary,residuals,season,position,team
3500000,3461117.341040224,38882.65895977616,2001,Guard,Portland Trail Blazers
3500000,3397928.708788514,102071.29121148586,2001,Point Guard,Milwaukee Bucks
3412000,3208362.812033415,203637.18796658516,2001,Small Forward,Los Angeles Lakers
3390000,3524305.9732919335,-134305.97329193354,2001,Forward,Golden State Warriors
3375000,3208362.812033415,166637.18796658516,2001,Small Forward,Cleveland Cavaliers
3375000,3397928.708788514,-22928.708788514137,2001,Point Guard,Philadelphia 76ers
3310000,3587494.6055436432,-277494.60554364324,2001,Center,Milwaukee Bucks
3308000,3397928.708788514,-89928.70878851414,2001,Point Guard,Vancouver Grizzlies
3259000,3461117.341040224,-202117.34104022384,2001,Guard,Detroit Pistons
3250000,3397928.708788514,-147928.70878851414,2001,Point Guard,Indiana Pacers
3246000,3397928.708788514,-151928.70878851414,2001,Point Guard,Houston Rockets
3200000,3587494.6055436432,-387494.60554364324,2001,Center,Boston Celtics
3200000,3587494.6055436432,-387494.60554364324,2001,Center,New York Knicks
3164000,3334740.0765368342,-170740.07653683424,2001,Power Forward,Vancouver Grizzlies
3132000,3271551.4442851245,-139551.44428512454,2001,Shooting Guard,Sacramento Kings
3100000,3397928.708788514,-297928.70878851414,2001,Point Guard,Orlando Magic
3060000,3208362.812033415,-148362.81203341484,2001,Small Forward,Toronto Raptors
3000000,3397928.708788514,-397928.70878851414,2001,Point Guard,Los Angeles Lakers
3000000,3271551.4442851245,-271551.44428512454,2001,Shooting Guard,Los Angeles Clippers
3000000,3397928.708788514,-397928.70878851414,2001,Point Guard,Detroit Pistons
2990000,3524305.9732919335,-534305.9732919335,2001,Forward,Washington Wizards
2970000,3587494.6055436432,-617494.6055436432,2001,Center,Denver Nuggets
2916000,3397928.708788514,-481928.70878851414,2001,Point Guard,Charlotte Hornets
2880000,3461117.341040224,-581117.3410402238,2001,Guard,Vancouver Grizzlies
2880000,3271551.4442851245,-391551.44428512454,2001,Shooting Guard,Charlotte Hornets
2880000,3587494.6055436432,-707494.6055436432,2001,Center,Minnesota Timberwolves
2848000,3587494.6055436432,-739494.6055436432,2001,Center,Detroit Pistons
2841000,3208362.812033415,-367362.81203341484,2001,Small Forward,Los Angeles Clippers
2815000,3334740.0765368342,-519740.07653683424,2001,Power Forward,Washington Wizards
2814000,3397928.708788514,-583928.7087885141,2001,Point Guard,San Antonio Spurs
2812000,3334740.0765368342,-522740.07653683424,2001,Power Forward,Boston Celtics
2750000,3334740.0765368342,-584740.0765368342,2001,Power Forward,Toronto Raptors
2737000,3271551.4442851245,-534551.4442851245,2001,Shooting Guard,Minnesota Timberwolves
2727000,3271551.4442851245,-544551.4442851245,2001,Shooting Guard,Sacramento Kings
2700000,3524305.9732919335,-824305.9732919335,2001,Forward,Cleveland Cavaliers
2700000,3587494.6055436432,-887494.6055436432,2001,Center,Toronto Raptors
2700000,3334740.0765368342,-634740.0765368342,2001,Power Forward,Sacramento Kings
2678000,3334740.0765368342,-656740.0765368342,2001,Power Forward,Golden State Warriors
2650000,3271551.4442851245,-621551.4442851245,2001,Shooting Guard,Milwaukee Bucks
2628000,3334740.0765368342,-706740.0765368342,2001,Power Forward,Los Angeles Clippers
2570000,3334740.0765368342,-764740.0765368342,2001,Power Forward,San Antonio Spurs
2562000,3524305.9732919335,-962305.9732919335,2001,Forward,Chicago Bulls
2500000,3587494.6055436432,-1087494.6055436432,2001,Center,Chicago Bulls
2425000,3461117.341040224,-1036117.3410402238,2001,Guard,Toronto Raptors
2380000,3208362.812033415,-828362.8120334148,2001,Small Forward,Indiana Pacers
2370000,3397928.708788514,-1027928.7087885141,2001,Point Guard,Washington Wizards
2320000,3271551.4442851245,-951551.4442851245,2001,Shooting Guard,Orlando Magic
2250000,3334740.0765368342,-1084740.0765368342,2001,Power Forward,Vancouver Grizzlies
2250000,3271551.4442851245,-1021551.4442851245,2001,Shooting Guard,San Antonio Spurs
2250000,3461117.341040224,-1211117.3410402238,2001,Guard,Utah Jazz
2250000,3587494.6055436432,-1337494.6055436432,2001,Center,Portland Trail Blazers
2250000,3461117.341040224,-1211117.3410402238,2001,Guard,Boston Celtics
2250000,3461117.341040224,-1211117.3410402238,2001,Guard,Los Angeles Lakers
2250000,3524305.9732919335,-1274305.9732919335,2001,Forward,Miami Heat
2250000,3397928.708788514,-1147928.7087885141,2001,Point Guard,Cleveland Cavaliers
2250000,3334740.0765368342,-1084740.0765368342,2001,Power Forward,Detroit Pistons
2250000,3587494.6055436432,-1337494.6055436432,2001,Center,New Jersey Nets
2250000,3587494.6055436432,-1337494.6055436432,2001,Center,Indiana Pacers
2250000,3397928.708788514,-1147928.7087885141,2001,Point Guard,Washington Wizards
2250000,3397928.708788514,-1147928.7087885141,2001,Point Guard,Phoenix Suns
2250000,3397928.708788514,-1147928.7087885141,2001,Point Guard,Minnesota Timberwolves
2250000,3397928.708788514,-1147928.7087885141,2001,Point Guard,Sacramento Kings
2250000,3208362.812033415,-958362.8120334148,2001,Small Forward,Atlanta Hawks
2240000,3587494.6055436432,-1347494.6055436432,2001,Center,Toronto Raptors
2203000,3334740.0765368342,-1131740.0765368342,2001,Power Forward,Cleveland Cavaliers
2200000,3461117.341040224,-1261117.3410402238,2001,Guard,San Antonio Spurs
2200000,3524305.9732919335,-1324305.9732919335,2001,Forward,Portland Trail Blazers
2200000,3208362.812033415,-1008362.8120334148,2001,Small Forward,Phoenix Suns
2200000,3524305.9732919335,-1324305.9732919335,2001,Forward,New Jersey Nets
2200000,3271551.4442851245,-1071551.4442851245,2001,Shooting Guard,Chicago Bulls
2200000,3208362.812033415,-1008362.8120334148,2001,Small Forward,Detroit Pistons
